t,x,y,yaw,speed,target_y,steering,left_wheel,right_wheel
0.050,2.2997,-0.0000,-0.0001,0.0062,0.00,-0.0003,-0.0003,-0.0003
0.100,2.2987,-0.0001,-0.0002,0.0198,0.00,-0.0010,-0.0010,-0.0010
0.150,2.2978,-0.0001,0.0000,0.0183,0.00,-0.0019,-0.0019,-0.0019
0.200,2.2968,-0.0001,0.0004,0.0198,0.00,-0.0027,-0.0027,-0.0027
0.250,2.2957,-0.0002,0.0007,0.0211,0.00,-0.0033,-0.0033,-0.0033
0.300,2.2946,-0.0002,0.0011,0.0222,0.00,-0.0039,-0.0039,-0.0039
0.350,2.2935,-0.0002,0.0014,0.0232,0.00,-0.0045,-0.0045,-0.0045
0.400,2.2923,-0.0002,0.0017,0.0240,0.00,-0.0049,-0.0049,-0.0049
0.450,2.2910,-0.0002,0.0020,0.0247,0.00,-0.0053,-0.0053,-0.0053
0.500,2.2898,-0.0002,0.0022,0.0254,0.00,-0.0056,-0.0056,-0.0056
0.550,2.2885,-0.0003,0.0023,0.0259,0.00,-0.0058,-0.0058,-0.0058
0.600,2.2872,-0.0003,0.0025,0.0264,0.00,-0.0061,-0.0060,-0.0061
0.650,2.2858,-0.0003,0.0026,0.0268,0.00,-0.0062,-0.0062,-0.0062
0.700,2.2845,-0.0003,0.0027,0.0271,0.00,-0.0064,-0.0064,-0.0064
0.750,2.2831,-0.0003,0.0028,0.0274,0.00,-0.0065,-0.0065,-0.0065
0.800,2.2817,-0.0003,0.0028,0.0276,0.00,-0.0066,-0.0066,-0.0066
0.850,2.2803,-0.0003,0.0029,0.0279,0.00,-0.0067,-0.0066,-0.0067
0.900,2.2789,-0.0003,0.0029,0.0281,0.00,-0.0067,-0.0067,-0.0067
0.950,2.2775,-0.0003,0.0029,0.0282,0.00,-0.0068,-0.0067,-0.0068
1.000,2.2761,-0.0003,0.0030,0.0284,0.00,-0.0068,-0.0068,-0.0068
1.050,2.2747,-0.0003,0.0030,0.0285,0.00,-0.0068,-0.0068,-0.0068
1.100,2.2732,-0.0003,0.0030,0.0286,0.00,-0.0068,-0.0068,-0.0068
1.150,2.2718,-0.0003,0.0030,0.0287,0.00,-0.0068,-0.0068,-0.0068
1.200,2.2704,-0.0003,0.0030,0.0288,0.00,-0.0068,-0.0068,-0.0068
1.250,2.2689,-0.0003,0.0030,0.0288,0.00,-0.0068,-0.0068,-0.0068
1.300,2.2675,-0.0003,0.0030,0.0289,0.00,-0.0068,-0.0068,-0.0068
1.350,2.2660,-0.0003,0.0029,0.0289,0.00,-0.0068,-0.0068,-0.0068
1.400,2.2646,-0.0003,0.0029,0.0290,0.00,-0.0068,-0.0068,-0.0068
1.450,2.2631,-0.0003,0.0029,0.0290,0.00,-0.0067,-0.0067,-0.0068
1.500,2.2617,-0.0003,0.0029,0.0291,0.00,-0.0067,-0.0067,-0.0067
1.550,2.2602,-0.0003,0.0029,0.0291,0.00,-0.0067,-0.0067,-0.0067
1.600,2.2588,-0.0003,0.0028,0.0291,0.00,-0.0067,-0.0067,-0.0067
1.650,2.2573,-0.0003,0.0028,0.0291,0.00,-0.0066,-0.0066,-0.0066
1.700,2.2558,-0.0003,0.0028,0.0291,0.00,-0.0066,-0.0066,-0.0066
1.750,2.2544,-0.0003,0.0028,0.0292,0.00,-0.0066,-0.0066,-0.0066
1.800,2.2529,-0.0003,0.0027,0.0292,0.00,-0.0065,-0.0065,-0.0065
1.850,2.2515,-0.0003,0.0027,0.0292,0.00,-0.0065,-0.0065,-0.0065
1.900,2.2500,-0.0003,0.0027,0.0292,0.00,-0.0065,-0.0064,-0.0065
1.950,2.2486,-0.0003,0.0027,0.0292,0.00,-0.0064,-0.0064,-0.0064
2.000,2.2471,-0.0003,0.0026,0.0292,0.00,-0.0064,-0.0064,-0.0064
2.050,2.2456,-0.0003,0.0026,0.0292,0.00,-0.0063,-0.0063,-0.0064
2.100,2.2442,-0.0003,0.0026,0.0292,0.00,-0.0063,-0.0063,-0.0063
